position	time
RP010N010B-1	14:24:36
RP010N020B-1	14:30:59
RP010N030B-1	14:35:21
RP010N040B-1	14:39:30
RP010N050B-1	14:43:36
RP010N060B-1	14:48:45
RP010N070B-1	14:53:23
RP010N080B-1	14:57:50
RP010N090B-1	15:01:48
RP010P000B-1	14:19:54
RP010P010B-1	14:15:40
RP020N010B-1	14:24:54
RP020N020B-1	14:31:15
RP020N030B-1	14:35:35
RP020N040B-1	14:39:44
RP020N050B-1	14:43:53
RP020N060B-1	14:49:10
RP020N070B-1	14:53:39
RP020N080B-1	14:58:05
RP020N090B-1	15:02:09
RP020P000B-1	14:20:28
RP020P010B-1	14:16:05
RP030N010B-1	14:25:10
RP030N020B-1	14:31:33
RP030N030B-1	14:35:51
RP030N040B-1	14:40:00
RP030N050B-1	14:44:54
RP030N060B-1	14:49:33
RP030N070B-1	14:53:54
RP030N080B-1	14:58:20
RP030N090B-1	15:02:28
RP030P000B-1	14:20:39
RP030P010B-1	14:16:19
RP040N010B-1	14:25:27
RP040N020B-1	14:31:56
RP040N030B-1	14:36:06
RP040N040B-1	14:40:14
RP040N050B-1	14:45:15
RP040N060B-1	14:49:55
RP040N070B-1	14:54:10
RP040N080B-1	14:58:37
RP040N090B-1	15:02:45
RP040P000B-1	14:21:07
RP040P010B-1	14:16:33
RP050N010B-1	14:25:47
RP050N020B-1	14:32:19
RP050N030B-1	14:36:20
RP050N040B-1	14:40:30
RP050N050B-1	14:45:37
RP050N060B-1	14:50:09
RP050N070B-1	14:54:25
RP050N080B-1	14:58:50
RP050N090B-1	15:03:00
RP050P000B-1	14:21:18
RP050P010B-1	14:16:47
RP060N010B-1	14:26:05
RP060N020B-1	14:32:34
RP060N030B-1	14:36:40
RP060N040B-1	14:40:52
RP060N050B-1	14:45:56
RP060N060B-1	14:50:28
RP060N070B-1	14:54:45
RP060N080B-1	14:59:09
RP060N090B-1	15:03:18
RP060P000B-1	14:21:34
RP060P010B-1	14:17:01
RP070N010B-1	14:26:16
RP070N020B-1	14:32:48
RP070N030B-1	14:37:02
RP070N040B-1	14:41:04
RP070N050B-1	14:46:12
RP070N060B-1	14:50:40
RP070N070B-1	14:54:58
RP070N080B-1	14:59:25
RP070N090B-1	15:03:37
RP070P000B-1	14:21:48
RP070P010B-1	14:17:13
RP080N010B-1	14:26:30
RP080N020B-1	14:33:02
RP080N030B-1	14:37:16
RP080N040B-1	14:41:16
RP080N050B-1	14:46:25
RP080N060B-1	14:50:52
RP080N070B-1	14:55:14
RP080N080B-1	14:59:41
RP080N090B-1	15:03:50
RP080P000B-1	14:22:01
RP080P010B-1	14:17:29
RP090N010B-1	14:28:49
RP090N020B-1	14:33:13
RP090N030B-1	14:37:29
RP090N040B-1	14:41:27
RP090N050B-1	14:46:40
RP090N060B-1	14:51:09
RP090N070B-1	14:55:31
RP090N080B-1	14:59:53
RP090N090B-1	15:04:00
RP090P000B-1	14:22:13
RP090P010B-1	14:17:38
RP100N010B-1	14:29:01
RP100N020B-1	14:33:27
RP100N030B-1	14:37:48
RP100N040B-1	14:41:41
RP100N050B-1	14:47:01
RP100N060B-1	14:51:20
RP100N070B-1	14:55:46
RP100N080B-1	15:00:03
RP100N090B-1	15:04:15
RP100P000B-1	14:22:31
RP100P010B-1	14:17:51
RP110N010B-1	14:29:16
RP110N020B-1	14:33:47
RP110N030B-1	14:38:05
RP110N040B-1	14:41:53
RP110N050B-1	14:47:14
RP110N060B-1	14:51:34
RP110N070B-1	14:56:01
RP110N080B-1	15:00:17
RP110N090B-1	15:04:31
RP110P000B-1	14:22:48
RP110P010B-1	14:18:04
RP120N010B-1	14:29:42
RP120N020B-1	14:34:01
RP120N030B-1	14:38:19
RP120N040B-1	14:42:10
RP120N050B-1	14:47:28
RP120N060B-1	14:51:50
RP120N070B-1	14:56:24
RP120N080B-1	15:00:35
RP120N090B-1	15:04:50
RP120P000B-1	14:23:07
RP120P010B-1	14:18:20
RP130N010B-1	14:30:02
RP130N020B-1	14:34:20
RP130N030B-1	14:38:37
RP130N040B-1	14:42:25
RP130N050B-1	14:47:41
RP130N060B-1	14:52:17
RP130N070B-1	14:56:45
RP130N080B-1	15:00:49
RP130N090B-1	15:05:06
RP130P000B-1	14:23:33
RP130P010B-1	14:18:41
RP140N010B-1	14:30:18
RP140N020B-1	14:34:37
RP140N030B-1	14:38:51
RP140N040B-1	14:42:44
RP140N050B-1	14:47:55
RP140N060B-1	14:52:36
RP140N070B-1	14:57:03
RP140N080B-1	15:01:08
RP140N090B-1	15:05:18
RP140P000B-1	14:23:49
RP140P010B-1	14:19:05
RP150N010B-1	14:30:37
RP150N020B-1	14:34:56
RP150N030B-1	14:39:10
RP150N040B-1	14:43:02
RP150N050B-1	14:48:14
RP150N060B-1	14:52:54
RP150N070B-1	14:57:26
RP150N080B-1	15:01:22
RP150N090B-1	15:05:32
RP150P000B-1	14:24:12
RP150P010B-1	14:19:26
