position	time
RP010N010B-1	14:24:36
RP010N030B-1	14:35:21
RP010N050B-1	14:43:36
RP010N070B-1	14:53:23
RP010N090B-1	15:01:48
RP010P010B-1	14:15:40
RP030N010B-1	14:25:10
RP030N030B-1	14:35:51
RP030N050B-1	14:44:54
RP030N070B-1	14:53:54
RP030N090B-1	15:02:28
RP030P010B-1	14:16:19
RP050N010B-1	14:25:47
RP050N030B-1	14:36:20
RP050N050B-1	14:45:37
RP050N070B-1	14:54:25
RP050N090B-1	15:03:00
RP050P010B-1	14:16:47
RP070N010B-1	14:26:16
RP070N030B-1	14:37:02
RP070N050B-1	14:46:12
RP070N070B-1	14:54:58
RP070N090B-1	15:03:37
RP070P010B-1	14:17:13
RP090N010B-1	14:28:49
RP090N030B-1	14:37:29
RP090N050B-1	14:46:40
RP090N070B-1	14:55:31
RP090N090B-1	15:04:00
RP090P010B-1	14:17:38
RP110N010B-1	14:29:16
RP110N030B-1	14:38:05
RP110N050B-1	14:47:14
RP110N070B-1	14:56:01
RP110N090B-1	15:04:31
RP110P010B-1	14:18:04
RP130N010B-1	14:30:02
RP130N030B-1	14:38:37
RP130N050B-1	14:47:41
RP130N070B-1	14:56:45
RP130N090B-1	15:05:06
RP130P010B-1	14:18:41
RP150N010B-1	14:30:37
RP150N030B-1	14:39:10
RP150N050B-1	14:48:14
RP150N070B-1	14:57:26
RP150N090B-1	15:05:32
RP150P010B-1	14:19:26
